"Nome Urna			Partido"
"ABADIA SANTAREM 			REDE"
"ABEL DUARTE			PHS"
"ADELMO PAPAI SMURF			PRP"
"ADHARA CAMPOS			PV"
"ADIBE MECANICO			PV"
"ADILSON NUNES			REDE"
"ADOLPHO FUICA			REDE"
"ADRIANA GLORIA			AVANTE"
"ADRIANA LOURENÇO			PROS"
"ADRIANO ARAÚJO			SOLIDARIEDADE"
"ADRIANO AZEVEDO			PTC"
"ADRIANO MARROCOS			PSD"
"AGACIEL MAIA			PR"
"AGENILDO NERI			PRB"
"AGNALDO ROMEIRO			PPS"
"AILTON MIRANDA			PTC"
"AIRAM			PTB"
"AKILLA MARINHO			AVANTE"
"ALDEMIO OGLIARI			PT"
"ALDEMIR DOMICIO			PC do B"
"ALDOVRANDO TORRES			PPS"
"ALESSANDRA GOMES			PMN"
"ALESSANDRO PAIVA			PSB"
"ALEXANDRE MORAIS			PATRI"
"ALEXANDRE TOTA			PRB"
"ALEXANDRE YANEZ			PP"
"ALEX NEVES			PTB"
"ALEX RIBEIRO			PSL"
"ALFREDO JUNIOR			AVANTE"
"ALINE			DEM"
"ALINE CABRAL			PSL"
"ALINNE MARQUES			PPL"
"ALLAN FREIRE			NOVO"
"ALLISSON RENOVAÇÃO			PT"
"ALMACHIO ROCHA			PSL"
"ALTINO TORNEIRO			PSD"
"ALZIRA FOLHA			PSB"
"AMAZONICA BRASIL			PROS"
"AMILTON SILVA			PSL"
"ANA CRISTINA DO POR DO SOL			PTB"
"ANA LUIZA			PRB"
"ANA MARIA			PP"
"ANA PAULA GUEDES			PRB"
"ANA ROSA			REDE"
"ANA SALES			PRB"
"ANCHIETA JR			PTC"
"ANDERSON FABRICIO			PR"
"ANDERSON FONSECA			PSD"
"ANDERSON LOPES			PATRI"
"ANDERSON MANTEIGA			PR"
"ANDERSON MEDINA			PP"
"ANDERSON SANTOS			PRP"
"ANDERSON SENTO			PR"
"ANDREA BORGES			PRTB"
"ANDREA MENDES			PV"
"ANDREA QUADROS			NOVO"
"ANDRÉ BRANDÃO			PODE"
"ANDRÉ CORUJA			PDT"
"ANDREIA BANDEIRA			PPL"
"ANDRE KALLAGRI			PMN"
"ANDRÉ LIMA			REDE"
"ANDRÉ LUIZ			MDB"
